source,count,mean,std,max,min,sum
UBA52,173,0.39987149041826014,0.1252575644098165,0.750399840091,0.279930415944,69.177767842359
KRTAP10-9,173,0.44384116127475143,0.08402620045989244,0.638447632444,0.279930415944,76.784520900532
VCP,173,0.42477543218507513,0.1280519860576852,0.831419205342,0.246936166436,73.486149768018
ABL1,172,0.3910804114737151,0.10195567556186289,0.731990815396,0.246936166436,67.265830773479
SMN2,172,0.34969334104786626,0.10169471842900499,0.777128381379,0.279930415944,60.147254660232996
HNRNPM,172,0.3471463053875233,0.06997921137169034,0.743769022661,0.279930415944,59.709164526654
YWHAB,171,0.4034151826808421,0.09567475262551184,0.855184224549,0.279641111567,68.983996238424
CBL,169,0.4054242599499054,0.10644406667495102,0.779399196073,0.279930415944,68.516699931534
PRKDC,169,0.37802735455166864,0.11006393873103641,0.846823395218,0.279930415944,63.886622919231996
MAPK6,168,0.2841632796040119,0.030393815742767668,0.593777419121,0.279930415944,47.73943097347399
PSMA3,166,0.3673017220190723,0.12404514989553657,0.873086813178,0.279930415944,60.972085855166
CUL1,165,0.4292343010711758,0.12184284248547222,0.819116533621,0.279930415944,70.823659676744
CDC42,164,0.35686071254617685,0.1049638969117382,0.768643773829,0.246936166436,58.525156857573
PRKACA,163,0.3403024938233129,0.06475635378633365,0.660180467566,0.246743830368,55.4693064932
STAT3,162,0.3944889601064753,0.11434939683747364,0.99,0.279930415944,63.907211537249
PML,162,0.40778516518581476,0.13051119336721656,0.823062555796,0.246936166436,66.06119676010199
COPS5,162,0.4164851687632037,0.13788975967654246,0.816575190642,0.279930415944,67.470597339639
HGS,161,0.35737729541277014,0.1092499617741554,0.840895940866,0.246936166436,57.537744561455995
NR3C1,160,0.358900112433175,0.08878367947310445,0.690890282725,0.279930415944,57.424017989308
TK1,159,0.2980889291458302,0.055082322569393084,0.643295457702,0.279930415944,47.396139734186995
STUB1,158,0.4282736898424684,0.12655238672642663,0.894947340862,0.279930415944,67.66724299511
HSPA1B,157,0.402844286085707,0.1074286670861934,0.801168389493,0.279930415944,63.246552915456
